Batiment;Lat;Longi;Effectif;Type;Ville;
Centrale à bitume;43.556417403968226;2.050626971845913;0;0;Puylaurens;
Ecole publique;43.57269603143819;1.8906762740533425;0;1;Cuq-Toulza;
Ecole de Prades;43.617452133055515;1.9747903487965859;0;1;Prades;
Ecole de Pallevile;43.51023056533216;1.9964196822709515;0;1;Palleville;
Ecole;43.53213817601757;2.007749333138477;0;1;Blan;
Ecole ;43.49525786363941;2.0201110740985606;0;1;Revel;
Ecole de la Source;43.575898439767286;2.0094680694528164;251;1;Puylaurens;
Ecole Jeanne d'Arc;43.57689332852964;2.01530455587145;0;1;Puylaurens;
Ecole primaire;43.53384937185469;2.064056387979065;0;1;Lempaut;
Ecole publique;43.56694370194291;2.0647430336038703;0;1;St Germain des Près;
Ecole primaire;43.545048736007885;2.1028518571114145;0;1;Lescout;
Ecole publique R. Bénazech;43.45975014962576;2.067281203563983;0;1;Sorèze;
Ecole publique;43.55606167746441;2.1147800127463605;0;1;Soual;
Ecole Publique Maternelle;43.64599782738691;2.038383411235145;0;1;Guitalens-l'Albarède;
Ecole Primaire;43.624877181168195;2.0867156887775447;0;1;Vielmur-sur-Agout;
Ecole publique;43.595295806415095;2.1090316662605564;0;1;Sémalens;
Ecole;43.58186752650835;2.112808216296143;0;1;Cambounet-sur-le-Sor;
Ecole primaire;43.56136272993733;2.171509269196729;0;1;Viviers-les-Montagnes;
Ecole Longuegineste;43.587631975529995;2.1525161919976954;0;1;Saïx;
Ecole primaire;43.58617287362564;2.181581355590155;0;1;Saïx;
Ecole la Colombière;43.58825729409043;2.1907901202927165;0;1;Saïx;
Collège J Durand;43.57952037917967;2.008163192482762;490;1;Puylaurens;
Collège M Cros;43.49390360183138;2.1365658985595677;0;1;Dourgne;
Collège R Cassin;43.63140675864781;2.0926331055539866;0;1;Vielmur-sur-Agout;
Lyée V Auriol;43.46899219863508;2.0136563555625298;0;1;Revel;
EHPAD le pré fleuri;43.67737001560636;2.03251359930595;0;2;Serviès;
EHPAD Résidence les Moulins;43.5849295628744;2.0084810081703988;70;2;Puylaurens;
Maison de Retraite St Vincent et Ste Croix;43.45995927934807;2.0661592268957216;0;2;Sorèze;
EHPAD Korian Maison d'Emilienne;43.476404414953706;2.086071945265178;0;2;Cahuzac;
EHPAD St Vincent de Paul;43.53118921842982;2.0084810081703988;0;2;Blan;
Les doudous blancs;43.53436733882498;2.007777509748783;0;3;Blan